,created_at,tweet
0,Sat May 02 19:55:34 +0000 2020,One of the all-time best songs https://t.co/IvI7IOgMAa
1,Sat May 02 08:00:08 +0000 2020,RT @SpaceX: Crew Dragon at the Cape undergoing final preparations ahead of first flight to the @Space_Station with @NASA astronauts onboard…
2,Fri May 01 16:17:43 +0000 2020,My gf @Grimezsz is mad at me
3,Fri May 01 16:14:14 +0000 2020,Just one stipulation on sale: I own Gene Wilder’s old house. It cannot be torn down or lose any its soul.
4,Fri May 01 16:08:57 +0000 2020,"Rage, rage against the dying of the light of consciousness"
5,Fri May 01 15:30:38 +0000 2020,O'er the land of the free and the home of the brave?
6,Fri May 01 15:29:47 +0000 2020,"Oh, say does that star-spangled banner yet wave"
7,Fri May 01 15:28:08 +0000 2020,Gave proof through the night that our flag was still there
8,Fri May 01 15:26:46 +0000 2020,"And the rocket's red glare, 
the bombs bursting in air"
9,Fri May 01 15:15:13 +0000 2020,Now give people back their FREEDOM
10,Fri May 01 15:11:26 +0000 2020,Tesla stock price is too high imo
11,Fri May 01 15:10:24 +0000 2020,I am selling almost all physical possessions. Will own no house.
12,Fri May 01 14:18:00 +0000 2020,RT @JimBridenstine: Why our Launch of the @NASA &amp; @SpaceX Demo-2 Mission to the @Space_Station  is Essential: https://t.co/HPjWTsB7xy https…
13,Thu Apr 30 20:36:24 +0000 2020,"RT @vincent13031925: Tesla Reached 1,000 Solar Roof Production In A Single Week, Exceeding 4MW https://t.co/hW5WPdv6np"
14,Thu Apr 30 18:25:56 +0000 2020,This is misleading to the public
15,Thu Apr 30 17:54:59 +0000 2020,Classifying all deaths as corona even if corona didn’t cause the death is simply a lie https://t.co/R1sgzcFS46
16,Thu Apr 30 17:16:41 +0000 2020,"RT @AdamDraper: Both @pmarca and @elonmusk have said we should go build/get back to work and have been met with harsh criticism. 

I’m with…"
17,Thu Apr 30 17:11:14 +0000 2020,"RT @SpaceX: Last year, NASA announced Starship as eligible for the Commercial Lunar Payload Services (CLPS) initiative – to deliver payload…"
18,Thu Apr 30 17:11:10 +0000 2020,RT @SpaceX: SpaceX has been selected to develop a lunar optimized Starship to transport crew between lunar orbit and the surface of the Moo…
19,Thu Apr 30 14:56:31 +0000 2020,"RT @elonmusk: @RationalEtienne Yes, reopen with care &amp; appropriate protection, but don’t put everyone under de facto house arrest"
20,Thu Apr 30 14:39:36 +0000 2020,Why forced isolation is bad https://t.co/c2XCcRSx1C
21,Thu Apr 30 14:35:05 +0000 2020,"RT @Jason: Provided the hospital system is not overwhelmed, @elonmusk is 100% correct that people should be able to make their down decisio…"
22,Thu Apr 30 02:58:14 +0000 2020,California HHS server crashed. Maybe it has covid. https://t.co/eGkdPmBpAK
23,Thu Apr 30 02:05:19 +0000 2020,Actual data reference CHHS https://t.co/q7c7708ozx
24,Thu Apr 30 02:02:52 +0000 2020,Hospitals in California have been half empty this whole time https://t.co/8GL2BLypqV
25,Thu Apr 30 01:03:00 +0000 2020,RT @Lebeaucarnews: $TSLA CEO @elonmusk blasts shelter in place orders: “To say that they cannot leave their house and they will be arrested…
26,Wed Apr 29 06:14:53 +0000 2020,FREE AMERICA NOW
27,Wed Apr 29 06:08:29 +0000 2020,Bravo Texas! https://t.co/cVkDewRqGv
28,Wed Apr 29 06:03:52 +0000 2020,Give people their freedom back! https://t.co/iG8OYGaVZ0
29,Mon Apr 27 23:54:39 +0000 2020,Too much the moral arbiter of the world
30,Mon Apr 27 23:54:13 +0000 2020,Silicon Valley has become Sanctimonious Valley
31,Mon Apr 27 04:44:34 +0000 2020,SN4 passed cryo proof! 😅 https://t.co/EJakThZRGF
32,Mon Apr 27 03:50:33 +0000 2020,Snowing in Texas https://t.co/0LKwIpnoPB
33,Mon Apr 27 03:50:14 +0000 2020,"RT @NASA: Airplanes fly about 600 mph, but the @Space_Station orbits Earth at 17,500 mph &amp; looks like a very bright star moving across the…"
34,Mon Apr 27 03:00:41 +0000 2020,Cryo test underway
35,Sun Apr 26 22:42:05 +0000 2020,Interesting … https://t.co/z8sqqPt48q
36,Sun Apr 26 19:38:22 +0000 2020,"Docs make good points 
https://t.co/WeXuZpMghY"
37,Sun Apr 26 15:27:11 +0000 2020,Aiming for cryo pressure test tonight
38,Sun Apr 26 15:21:04 +0000 2020,SN4 passed ambient pressure test https://t.co/XW55rh6nX7
39,Sat Apr 25 11:50:25 +0000 2020,So often true 🤣🤣 https://t.co/qxmDtZ4Buf
40,Fri Apr 24 23:55:15 +0000 2020,Mythic Quest is 🤣🤣 MTTD
41,Fri Apr 24 22:28:54 +0000 2020,"RT @thirdrowtesla: Starting today Teslas in the US can automatically stop for traffic lights and stop signs.🚦🛑

Just say where you want to…"
42,Fri Apr 24 21:17:11 +0000 2020,Great questions from Hack Club! https://t.co/vRgaeErdvl
43,Fri Apr 24 18:10:53 +0000 2020,"The Machine Stops
https://t.co/zFWfR7IEcT"
44,Fri Apr 24 00:30:31 +0000 2020,Welcome @hiromichimizuno to the Tesla board! Honored to have you.
45,Thu Apr 23 18:58:59 +0000 2020,Starship SN4 tank on test stand https://t.co/zN2OmMp1OS
46,Thu Apr 23 18:39:49 +0000 2020,Silver lining is that mortality rate is much lower than predicted &amp; herd immunity much higher. Good news. https://t.co/brlQk5XDBf
47,Thu Apr 23 08:31:20 +0000 2020,"RT @Teslarati: Tesla Model S and Model X get free acceleration and endurance boost in new update
https://t.co/MsYXu4IMuW https://t.co/m5dlQ…"
48,Thu Apr 23 00:07:29 +0000 2020,"In advance of this, please try to hack Starlink &amp; Tesla Mothership! https://t.co/msdv8Dq2BN"
49,Wed Apr 22 22:15:10 +0000 2020,There are now 420 operational Starlink satellites 🛰 😉
50,Wed Apr 22 21:05:54 +0000 2020,"RT @SpaceX: Starlink will deliver high speed broadband internet to locations where access has been unreliable, expensive, or completely una…"
51,Wed Apr 22 20:59:54 +0000 2020,RT @SpaceX: Successful deployment of 60 Starlink satellites confirmed https://t.co/h3e6QmKRue
52,Wed Apr 22 19:27:37 +0000 2020,RT @SpaceX: Watch Falcon 9 launch 60 Starlink satellites → https://t.co/gtC39uBC7z  https://t.co/islIJwNrL1
53,Wed Apr 22 14:50:48 +0000 2020,"RT @SpaceX: New T-0 of 3:30 p.m. EDT, 19:30 UTC, for today’s launch of Starlink"
54,Wed Apr 22 14:45:10 +0000 2020,RT @SpaceX: Happy Earth Day! https://t.co/wvFit5hIq3
55,Tue Apr 21 00:23:44 +0000 2020,"RT @NASA: On May 1, we're previewing the return of human spaceflight to U.S. soil. 🇺🇸 Hear from @JimBridenstine, @SpaceX and NASA managers…"
56,Sun Apr 19 01:03:40 +0000 2020,Best political platform ever https://t.co/CRbNFdQj4B
